ANO_ELEICAO;SG_UF;DS_CARGO;SG_PARTIDO;DS_COMPOSICAO_FEDERACAO;DS_COMPOSICAO_COLIGACAO
2026;RS;DEPUTADO FEDERAL;PSD;#NULO;PSD
2026;RS;DEPUTADO ESTADUAL;PDT;#NULO;PDT
2026;PR;SENADOR;AVANTE;#NULO;REPUBLICANOS / MDB / DEMOCRATA / PSD / AVANTE / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
2026;DF;DEPUTADO FEDERAL;PL;#NULO;PL
2026;RR;2º SUPLENTE;PV;13-PT/65-PC do B/43-PV;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV)
2026;MG;2º SUPLENTE;AVANTE;#NULO;AVANTE
2026;PI;2º SUPLENTE;PSOL;50-PSOL/18-REDE;FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;AM;2º SUPLENTE;DC;#NULO;DC
2026;RO;DEPUTADO ESTADUAL;NOVO;#NULO;NOVO
2026;SC;DEPUTADO ESTADUAL;UNIÃO;44-UNIÃO/11-PP;FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
2026;PE;1º SUPLENTE;UP;#NULO;UP
2026;TO;SENADOR;DEMOCRATA;#NULO;DEMOCRATA
2026;RS;GOVERNADOR;REPUBLICANOS;#NULO;REPUBLICANOS / PODE / PL / DC / NOVO / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
2026;MG;1º SUPLENTE;PSB;#NULO;PSB / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;CE;2º SUPLENTE;UNIÃO;44-UNIÃO/11-PP;PL / DC / AVANTE / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
2026;DF;GOVERNADOR;PV;13-PT/65-PC do B/43-PV;PDT / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;PB;DEPUTADO FEDERAL;PSOL;50-PSOL/18-REDE;FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;RN;GOVERNADOR;PCO;#NULO;PCO
2026;RS;DEPUTADO ESTADUAL;DEMOCRATA;#NULO;DEMOCRATA
2026;PA;1º SUPLENTE;PSOL;50-PSOL/18-REDE;FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;SE;SENADOR;REDE;50-PSOL/18-REDE;FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;GO;2º SUPLENTE;UP;#NULO;UP
2026;SP;VICE-GOVERNADOR;AGIR;#NULO;AGIR
2026;TO;VICE-GOVERNADOR;PODE;#NULO;REPUBLICANOS / PODE / AVANTE / PL / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE) / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
2026;BA;DEPUTADO ESTADUAL;AVANTE;#NULO;AVANTE
2026;AC;2º SUPLENTE;REDE;50-PSOL/18-REDE;FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;MS;SENADOR;PRD;25-PRD/77-SOLIDARIEDADE;FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE)
2026;CE;SENADOR;PSB;#NULO;PDT / PODE / PSB / PSD / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE) / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE) / REPUBLICANOS / MDB / MOBILIZA
2026;MT;GOVERNADOR;PDT;#NULO;PDT / PSB / PSD / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;AC;SENADOR;CIDADANIA;45-PSDB/23-CIDADANIA;FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE)
2026;RJ;VICE-GOVERNADOR;PSB;#NULO;PDT / MDB / DC / PSB / PSD / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE)
2026;SC;2º SUPLENTE;DC;#NULO;REPUBLICANOS / PODE / PL / DC / NOVO / AGIR / AVANTE / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA)
2026;MS;1º SUPLENTE;PODE;#NULO;PL / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP) / REPUBLICANOS / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / PSD / MDB / PODE / AVANTE
2026;PE;DEPUTADO ESTADUAL;AVANTE;#NULO;AVANTE
2026;AP;GOVERNADOR;PT;13-PT/65-PC do B/43-PV;REPUBLICANOS / PDT / AGIR / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP) / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE)
2026;SP;1º SUPLENTE;PSTU;#NULO;PSTU
2026;SC;GOVERNADOR;PCO;#NULO;PCO
2026;AM;1º SUPLENTE;UNIÃO;44-UNIÃO/11-PP;PSB / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP) / PODE
2026;GO;GOVERNADOR;DEMOCRATA;#NULO;REPUBLICANOS / MDB / PODE / MOBILIZA / DEMOCRATA / AGIR / PSD / AVANTE / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE) / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
2026;MA;DEPUTADO FEDERAL;MISSÃO;#NULO;MISSÃO
2026;PI;SENADOR;DC;#NULO;DC
2026;BA;DEPUTADO FEDERAL;REPUBLICANOS;#NULO;REPUBLICANOS
2026;MS;GOVERNADOR;SOLIDARIEDADE;25-PRD/77-SOLIDARIEDADE;FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE)
2026;MS;VICE-GOVERNADOR;MDB;#NULO;FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP) / PL / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / PODE / AVANTE / REPUBLICANOS / PSD / MDB
2026;CE;2º SUPLENTE;PCDOB;13-PT/65-PC do B/43-PV;PDT / PODE / PSB / PSD / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE) / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE) / REPUBLICANOS / MDB / MOBILIZA
2026;GO;GOVERNADOR;REPUBLICANOS;#NULO;REPUBLICANOS / MDB / PODE / MOBILIZA / DEMOCRATA / AGIR / PSD / AVANTE / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE) / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
