sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
RS;SANTA MARIA;Prefeito;11;SERGIO ROBERTO CECCHIN;PP;PROS / PP / PRTB / SOLIDARIEDADE / PL / PATRIOTA / AVANTE / MDB;2;Não eleito;SUL;53616
RS;SANTA MARIA;Prefeito;45;JORGE CLADISTONE POZZOBOM;PSDB;PTC / DEM / PTB / PODE / PSDB / PSL;2;Eleito;SUL;71927
SC;BLUMENAU;Prefeito;19;MÁRIO HILDEBRANDT;PODE;PSDB / MDB / REPUBLICANOS / SOLIDARIEDADE / PODE;2;Eleito;SUL;108591
SC;BLUMENAU;Prefeito;25;JOÃO PAULO KARAM KLEINUBING;DEM;PP / DEM / PSD;2;Não eleito;SUL;42026
SC;JOINVILLE;Prefeito;30;ADRIANO BORNSCHEIN SILVA;NOVO;NOVO;2;Eleito;SUL;145269
SC;JOINVILLE;Prefeito;55;DARCI DE MATOS;PSD;PSD / PL / PSDB / PP;2;Não eleito;SUL;116793
SE;ARACAJU;Prefeito;12;EDVALDO NOGUEIRA FILHO;PDT;PC do B / PSD / PDT / MDB / PV / PP / PSC / SOLIDARIEDADE / REPUBLICANOS;2;Eleito;NORDESTE;150823
SE;ARACAJU;Prefeito;23;DANIELLE GARCIA ALVES SOARES;CIDADANIA;CIDADANIA / PSB / PL / PSDB;2;Não eleito;NORDESTE;109864
SP;BAURU;Prefeito;25;RAUL APARECIDO GONÇALVES PAULA;DEM;DEM / PSL / PP / MDB;2;Não eleito;SUDESTE;70558
SP;BAURU;Prefeito;51;SUELLEN SILVA ROSIM;PATRIOTA;PATRIOTA;2;Eleito;SUDESTE;89725
SP;CAMPINAS;Prefeito;10;DARIO JORGE GIOLO SAADI;REPUBLICANOS;DEM / MDB / REPUBLICANOS / PSB / PSL;2;Eleito;SUDESTE;222030
